Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2014,63,13,Idaho,0.398,0.393,36.50%,"445,307","439,830",1119882,1205611,4.60%,"7,901","33,450","4,217","30,850",
2014,21,14,Illinois,0.408,0.402,36.60%,"3,680,417","3,627,690",9028752,9922399,8.50%,"46,465",0,0,"46,465",
2014,22,15,Indiana,0.287,0.278,26.70%,"1,387,622","1,341,814",4829510,5033872,3.50%,"28,638",0,0,"28,638",
2014,31,16,Iowa,0.503,0.498,47.30%,"1,142,284","1,129,700",2269179,2386733,3.60%,"8,686","29,929","5,769","31,215",
2014,32,17,Kansas,0.433,0.425,39.80%,"887,023","869,502",2048164,2184712,5.20%,"9,326","16,328","4,051","22,521",
2014,51,18,Kentucky,0.449,0.442,42.20%,"1,459,409","1,435,868",3247300,3406506,2.70%,"21,402","54,107","16,729","68,431",
2014,45,19,Louisiana,0.449,0.439,41.50%,"1,503,975","1,472,039",3349433,3545845,3.00%,"37,881","40,979","29,619","90,448",
2014,2,20,Maine,0.587,0.581,57.00%,"616,996","611,255",1051557,1071521,1.90%,0,0,0,0,
2014,52,21,Maryland,0.42,0.417,37.30%,"1,745,104","1,733,177",4154546,4645171,8.90%,"20,388","79,539","11,537","76,467",
2014,3,22,Massachusetts,0.447,0.441,40.20%,"2,186,789","2,158,326",4896296,5369534,8.60%,"10,014",0,0,"10,014",
2014,23,23,Michigan,0.432,0.427,41.00%,"3,188,956","3,156,531",7383958,7700110,3.50%,"42,900",0,0,"42,900",
2014,33,24,Minnesota,0.506,0.504,47.20%,"1,992,613","1,981,511",3935121,4194166,4.50%,"10,003","97,661","6,642","71,335",
2014,34,26,Missouri,0.336,0.317,30.50%,"1,509,025","1,426,303",4493722,4682458,2.40%,"31,432","47,303","18,495","76,417",
2014,64,27,Montana,0.475,0.469,46.10%,"373,831","369,826",787748,802644,1.40%,"3,681",0,0,"3,681",
2014,35,28,Nebraska,0.414,0.405,38.00%,"552,115","539,891",1334453,1419489,5.00%,"5,221","12,940","1,067","13,534",
2014,65,29,Nevada,0.296,0.293,25.20%,"552,546","547,349",1867644,2173640,12.90%,"12,537","12,027","5,927","25,199",
